customer_id,customer_name,segment,region,city,signup_date
CUST00001,Patrick Sanchez,Corporate,North,Lake Curtis,2024-05-11
CUST00002,Angie Henderson,Corporate,South,North Jefferyhaven,2024-07-29
CUST00003,Cristian Santos,Consumer,North,Robinsonshire,2024-04-12
CUST00004,Abigail Shaffer,Corporate,Central,Petersonberg,2023-08-05
CUST00005,Gabrielle Davis,Consumer,West,West Melanieview,2023-06-17
CUST00006,Joe Martinez,Consumer,North,Millerport,2024-09-18
CUST00007,Stacey Ward,Consumer,Central,Lake Chad,2024-10-06
CUST00008,Dylan Miller,Corporate,Central,Port Craig,2024-05-28
CUST00009,Roy Martin,Consumer,Central,Jasonview,2023-08-04
CUST00010,Maria Lynch,Consumer,West,New Jessica,2024-06-29
CUST00011,Devin Schaefer,Consumer,North,Lake Mark,2023-05-07
CUST00012,Crystal Johnson,Corporate,South,Richardland,2024-08-19
CUST00013,Latoya Robbins,Corporate,East,Lake Victor,2023-06-13
CUST00014,Judy Baker,Consumer,South,Lake Anna,2024-11-18
CUST00015,Jessica Silva,Home Office,East,Jeffreyberg,2023-07-24
CUST00016,Peter Callahan Jr.,Consumer,West,Port Erin,2024-01-31
CUST00017,James Ferrell,Consumer,East,Tashatown,2024-04-08
CUST00018,Melanie Herrera,Corporate,North,Kaylamouth,2024-06-12
CUST00019,Christopher Smith,Corporate,Central,Teresaburgh,2023-03-28
CUST00020,Sheila Evans,Consumer,West,East Nathaniel,2024-01-30
CUST00021,Paula Moreno,Consumer,East,New Mariotown,2023-05-06
CUST00022,Sherry Decker,Corporate,Central,Johnbury,2023-03-28
CUST00023,Angela Dennis,Corporate,East,Port Amandaberg,2024-11-12
CUST00024,Theresa Martin,Consumer,North,Brandtside,2023-04-10
CUST00025,Christina Collins,Consumer,South,Samuelhaven,2024-08-09
CUST00026,Danny Morgan,Corporate,North,New Jeffrey,2023-12-17
CUST00027,Amy Jones,Corporate,North,Port Markhaven,2023-02-25
CUST00028,John Ryan,Consumer,West,Sanchezfort,2023-07-04
CUST00029,Brandon Hopkins,Corporate,East,Rodneymouth,2024-09-19
CUST00030,Megan Joyce,Consumer,East,North Richardmouth,2024-11-01
CUST00031,Danielle Lee,Consumer,East,Taylorburgh,2024-09-13
CUST00032,Shannon Jones,Corporate,North,North Deniseside,2023-08-05
CUST00033,Brandon Molina,Corporate,South,East Richard,2024-10-11
CUST00034,James Brown,Consumer,South,Smithfurt,2024-01-09
CUST00035,Rachel Mitchell,Consumer,West,Mooreport,2023-07-25
CUST00036,Lauren Daniels,Consumer,Central,Brianshire,2023-06-19
CUST00037,Sarah Moore,Consumer,East,Port Jacobland,2024-01-06
CUST00038,Jennifer David,Corporate,North,New Brooke,2024-06-08
CUST00039,Matthew Cunningham,Consumer,North,Sarahborough,2024-04-26
CUST00040,Cynthia Foster,Corporate,West,Stephenland,2024-06-04
CUST00041,Zachary Ferrell,Consumer,South,New Jasonview,2023-01-08
CUST00042,Shirley Suarez,Home Office,Central,Justinmouth,2023-04-13
CUST00043,Elizabeth Riggs,Corporate,East,Lake Lisaport,2024-10-09
CUST00044,Teresa Taylor,Consumer,West,North Juliaberg,2024-12-24
CUST00045,Daniel Cooper,Consumer,West,Williamview,2023-07-31
CUST00046,Amber Walters,Consumer,South,Bradleymouth,2024-12-04
CUST00047,William Martin,Consumer,Central,Arnoldchester,2024-08-21
CUST00048,Benjamin Ware,Consumer,Central,New Barry,2024-03-11
CUST00049,Brittany Anderson,Consumer,Central,Michaelton,2023-10-14
CUST00050,Michael Estrada,Consumer,South,Kimberlychester,2024-11-29
CUST00051,Tammy Young,Home Office,South,Port Lisa,2024-04-27
CUST00052,Christopher Middleton,Consumer,North,Phambury,2024-11-15
CUST00053,Michael Reyes,Corporate,North,Port Thomasborough,2023-07-27
CUST00054,Hannah Hoover,Consumer,South,East Andrew,2024-09-26
CUST00055,Donald Jones,Corporate,West,Michaelhaven,2023-05-31
CUST00056,Sarah Rivera,Consumer,West,North Natalieview,2023-11-07
CUST00057,Victoria Johnson,Consumer,West,Reedmouth,2023-05-19
CUST00058,Kayla Cruz,Consumer,Central,West Bradley,2023-12-05
CUST00059,Timothy Ryan,Corporate,North,West Ryan,2023-12-05
CUST00060,Lisa Alvarado,Corporate,North,Lake Rachelhaven,2024-05-30
CUST00061,Erika Terry,Corporate,Central,East Robert,2023-08-29
CUST00062,Stephanie Gilbert,Corporate,East,Richardtown,2023-10-22
CUST00063,Jeffrey Carpenter,Consumer,West,Stevenmouth,2023-08-25
CUST00064,John Santana,Consumer,North,Lake Christopher,2024-06-08
CUST00065,Lisa Davis,Home Office,East,Lake Lance,2024-02-05
CUST00066,Alexander Sanchez,Home Office,South,Carrland,2024-09-18
CUST00067,Mark Lee,Consumer,North,Snyderbury,2023-12-20
CUST00068,Abigail Potter,Corporate,East,Port Ronaldburgh,2023-04-25
CUST00069,Kelly Williams,Corporate,Central,Port David,2024-09-16
CUST00070,Mary Travis,Corporate,South,Stephaniemouth,2023-04-14
CUST00071,Stephanie Simmons,Consumer,South,Merrittfort,2024-04-20
CUST00072,David Walsh,Consumer,Central,Simsview,2023-12-16
CUST00073,Dustin Nelson,Home Office,Central,Patricialand,2023-12-08
CUST00074,James Hernandez,Consumer,North,North Robert,2023-04-18
CUST00075,Jennifer Clark,Consumer,East,Priceshire,2023-09-15
CUST00076,Spencer Johnston,Corporate,East,Smithstad,2024-06-24
CUST00077,Sarah Ashley,Consumer,South,Medinaside,2023-08-20
CUST00078,Connie Robinson,Corporate,North,Tuckerfurt,2024-09-13
CUST00079,Rebecca Ramsey,Consumer,West,Calhounside,2023-09-19
CUST00080,Leslie Alvarado,Corporate,Central,Lake Roymouth,2023-01-21
CUST00081,James Lewis,Corporate,South,Matthewfurt,2023-05-22
CUST00082,Sandra King,Corporate,Central,South Andrewside,2023-08-05
CUST00083,Mrs. Marie Harrington DDS,Consumer,Central,East Jamestown,2023-02-10
CUST00084,Cameron Caldwell,Corporate,West,South Holly,2024-04-27
CUST00085,Larry Stuart,Home Office,Central,Port Loriport,2024-08-18
CUST00086,Tanya Johnston,Corporate,South,Sandersborough,2023-03-25
CUST00087,Sandra Sanchez,Corporate,West,Melissaville,2023-03-01
CUST00088,Dr. Hannah Patterson,Home Office,East,Caseymouth,2024-09-10
CUST00089,Samantha Garcia,Consumer,Central,Cynthiamouth,2023-01-10
CUST00090,Christopher Boyd,Consumer,South,Christinaside,2024-07-03
CUST00091,Mr. Nicholas Adams,Consumer,East,Port Sarah,2024-08-24
CUST00092,Dana Marshall,Consumer,Central,Rogersfort,2023-08-05
CUST00093,John Kelly,Consumer,South,Matthewview,2024-10-22
CUST00094,Travis Miller,Consumer,North,Freemanbury,2024-03-07
CUST00095,Michael West,Consumer,North,North Kellyfurt,2024-06-20
CUST00096,Matthew Wood,Corporate,North,Ronaldside,2024-06-21
CUST00097,Jesse Parker,Consumer,East,North Jennifer,2023-09-14
CUST00098,Joshua Gill,Corporate,South,East Javier,2023-09-03
CUST00099,Kevin Wolf,Consumer,Central,Tinaborough,2024-01-12
CUST00100,Christopher Smith,Consumer,South,West Brandon,2023-08-19
CUST00101,Melissa Martinez,Corporate,West,Garciatown,2023-02-12
CUST00102,John Peterson,Consumer,North,West Shelleyfort,2024-03-21
CUST00103,Jennifer Jones,Corporate,East,East Edwardshire,2023-03-30
CUST00104,David Grant,Consumer,West,Obrienbury,2023-08-24
CUST00105,Joanna Ramos,Corporate,North,Torreston,2024-08-25
CUST00106,Annette Farmer,Corporate,North,West Donna,2024-04-18
CUST00107,Juan Moore,Consumer,East,Hayesfort,2023-05-02
CUST00108,Dwayne Campbell,Corporate,North,Jonesbury,2023-08-15
CUST00109,Rick Lawrence,Consumer,South,South Danny,2024-12-18
CUST00110,Susan Serrano,Consumer,South,North Gabrielport,2023-06-24
CUST00111,Laura Roberts,Consumer,East,South Haleyfurt,2024-04-07
CUST00112,Katherine Miller,Consumer,North,South Jessicaview,2023-07-31
CUST00113,Vernon Huff,Consumer,Central,Port Emilyview,2023-01-21
CUST00114,Peter Ruiz,Consumer,Central,Moonburgh,2024-03-23
CUST00115,Robert Costa,Corporate,North,Baileymouth,2024-03-30
CUST00116,Shannon Rivera,Home Office,South,Robertsfurt,2023-09-07
CUST00117,Amanda Miller,Consumer,West,Marcusfurt,2024-09-23
CUST00118,Virginia Sandoval,Consumer,West,Gutierrezborough,2024-11-02
CUST00119,Peter Garrett,Home Office,South,East Josephberg,2024-02-07
CUST00120,Stanley Washington,Consumer,West,Lake Chelseabury,2024-12-21
CUST00121,Juan Tran,Consumer,West,East Victoriaville,2024-07-05
CUST00122,Maria Moore,Consumer,Central,Williamview,2023-12-25
CUST00123,Veronica Sanchez,Corporate,West,South James,2023-11-19
CUST00124,Sherry Shields,Consumer,East,Kendrachester,2024-04-10
CUST00125,Katie Hoover,Consumer,North,Jessicashire,2023-09-21
CUST00126,Mrs. Brittany Ryan MD,Consumer,Central,Gibsonmouth,2024-03-26
CUST00127,Michael Armstrong,Consumer,East,Port Kimberly,2024-11-06
CUST00128,John Mcintyre,Consumer,Central,Hughesberg,2023-02-03
CUST00129,Beth Sanford,Consumer,Central,Mollymouth,2024-01-20
CUST00130,Joyce Bowen,Consumer,Central,Pittsberg,2023-03-19
CUST00131,Wayne Morgan,Consumer,South,Santosmouth,2023-02-28
CUST00132,Kimberly Finley,Consumer,North,Brennanton,2024-10-24
CUST00133,Mark Mccall,Corporate,South,Lake Christopher,2024-04-24
CUST00134,Michele Garcia,Consumer,Central,Lake Kevin,2023-03-18
CUST00135,Robert Carter,Consumer,Central,Ryanbury,2023-01-23
CUST00136,Michael White,Consumer,North,North Chelsea,2024-02-17
CUST00137,Cynthia Durham,Consumer,Central,East Steven,2023-10-25
CUST00138,Michael Nolan,Consumer,East,Santanaside,2023-07-17
CUST00139,Tony Huerta,Home Office,South,Daniellechester,2023-05-03
CUST00140,Ryan Gonzalez,Corporate,East,Castanedaville,2024-06-20
CUST00141,Ian Phillips,Consumer,West,Andrewfurt,2023-07-04
CUST00142,Sean Osborne,Consumer,East,New Julieport,2023-08-02
CUST00143,Lisa Gomez,Consumer,North,New John,2024-08-25
CUST00144,Mary Massey,Consumer,Central,Lake Debbieport,2024-08-09
CUST00145,Kevin Oconnor,Home Office,North,West Markchester,2024-09-04
CUST00146,Richard Walter,Consumer,South,Alyssaview,2023-05-17
CUST00147,Thomas Raymond,Consumer,South,Juliemouth,2024-10-07
CUST00148,Victor Taylor,Home Office,North,Port Erica,2024-09-16
CUST00149,Tracy Ballard,Corporate,East,Christopherfurt,2024-06-07
CUST00150,Caleb Richardson,Consumer,West,Brendastad,2023-01-11
CUST00151,Kaitlyn Harvey,Corporate,East,Rosebury,2023-03-26
CUST00152,Rodney Blankenship,Corporate,Central,Debraville,2024-05-18
CUST00153,Andrew Ferrell,Consumer,Central,North Jimmyside,2023-04-19
CUST00154,Jacob Avery,Consumer,North,Matthewsberg,2023-04-16
CUST00155,Brett Burns,Home Office,South,Crosbyview,2024-11-18
CUST00156,Claudia Wallace,Consumer,North,Port Michael,2023-01-26
CUST00157,Steven Newman,Corporate,South,South Joshuaville,2024-06-16
CUST00158,Anna Lewis,Consumer,Central,North Kristinbury,2024-10-20
CUST00159,Christine Gallegos,Consumer,East,New Jason,2023-04-08
CUST00160,Raymond Kramer,Consumer,East,West Micheleberg,2024-11-06
CUST00161,Rebecca Rodriguez,Consumer,East,East Alexisbury,2023-04-11
CUST00162,Christopher Williams,Home Office,North,Foxland,2024-04-02
CUST00163,Ivan Wheeler,Consumer,West,Gordonton,2024-01-05
CUST00164,Sharon Boyd,Corporate,North,Schneidertown,2024-07-18
